,name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Average Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Litter Size,Predators,Type,Distinctive Feature,Temperament,Training,Wingspan,Incubation Period,Age Of Fledgling,Average Clutch Size,Main Prey,Age Of Independence,Average Spawn Size,Nesting Location,Age of Molting,Favorite Food,Origin,Optimum pH Level,Migratory,Special Features,Optimum PH Level
453,Curly Coated Retriever,,,,Curly coated retrievers are excellent swimmers.,,,,,,,Omnivore,,,Curly Coated Retriever,,,A lively and fun-loving breed!,Gun Dog,,,,,,,,,,,,,,,,,,,,,
454,Cuscus,,,,,,,,,,Tropical rainforest and mangroves,Herbivore,2,Solitary,,,,"Has a long, strong prehensile tail!",,,"Snakes, Humans, Large birds of prey",Mammal,Long tail and strong toes,,,,,,,"Fruit, Leaves, Insects",,,,,Fruit,,,,,
455,Cuttlefish,,,,,,,,,,Coastal and deeper waters,Carnivore,200,,Cuttlefish,120,Worldwide,Found throughout the world's oceans!,,,"Fish, Sharks, Cuttlefish",,Long body shape and large eyes,,,,,,,"Crab, Shrimp, Fish",,,,,Crab,,,,,
456,Czechoslovakian Wolfdog,,puppy,,This breed is also known as the Czechoslovakian Vlcak (the name for the German Shepherd).,,,"upright, triangle ears",,,,Omnivore,,,,,,,,6-7 puppies,,mammal,,"Intelligent, athletic, and loyal",,,,,,,,,,,,Czechoslovakia and Slovakia,,,,
457,Dachsador,,,,This hybrid dog is also known as a Doxador or a Weinerdor.,,,,,,,Omnivore,,,,,,,,,,,,"Friendly, affectionate, and playful",,,,,,,,,,,,,,,,
458,Dachshund,,,,"The doxie’s actual name, dachshund, directly describes its original purpose. Dachs means badger and hund means hunting in the German language.",,,,,,,Omnivore,,,Dachshund,,,Fun and playful breed of small dog!,Hound,,,,,Stubborn but playful and devoted,,,,,,,,,,,,,,,,
459,Dalmadoodle,,,,"Dalmatians were originally bred to run alongside carriages, and their dalmadoodle descendents have the same long legs and high energy.",,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Dalmador,,,,Dalmador breeding skyrocketed after the 16 release of the live-action 101 Dalmatians movie.,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Dalmatian,,,,Dalmatians are used as firehouse mascots,,,,,,,Omnivore,,,Dalmation,,,Have an energetic and playful nature!,Gun Dog,,,,,Sensitive and energetic,,,,,,,,,,,,,,,,
462,Danios,"small insects, worms",,School,These fish make a popular choice for aquarium hobbyists due to their hardy nature.,,loss of habitat,Stripes down the side of most species,Zebra fish,1.5-2 days,"streams, ponds",Omnivore,,,Danios,27,,,,,Larger fish and amphibians,,,,,,,,,,,,,,,,7.0-7.8,,,
463,Dapple Dachshund,,,,"A Dapple Dachshund’s dappling pattern may be just one spot, or it may be numerous spots and splashes on their coat.",,,,,,,Omnivore,,,,,,,,,,,,"Friendly, courageous, independent",,,,,,,,,,,,,,,,
464,Darwin’s fox,"Small mammals, reptiles, insects and other invertebrates","Pup, cub, kit",Solitary,It’s not a “true fox.”,"639 adults, conservation status endangered","Habitat fragmentation, feral and domesticated dogs",Its small size,"Darwin's zorro, zorro chilote, zorro de Darwin",Perhaps two months,"Temperate rainforests, shrubland",Omnivore,,,,1,Chile,,,Two to three,,Mammal,,,,,,,,,,,,,,,,,,
465,Darwin’s Frog,,,,,,,,,,Beech-tree forests and in fields,Carnivore,,Solitary,,,,Camouflages itself as a dead leaf!,,,"Rodents, Snakes, Birds",Amphibian,Small body size and leaf-like appearance,,,,,,30,"Insects, Worms, Snails",,,,,Insects,,,,,
466,Death Adder,"Birds, small mammals",,,The Death Adder is more closely related to the Cobra than other Australian snakes.,,,,,,,Omnivore,3-30+,,Death Adder,,,,,,,,"Black, brown and red bands",,,,,,,,,,,,,,,,,
467,Death’s Head Cockroach,insects,Nymphs,Gregarious,People buy Death's Head Cockroach nymphs and raise them as pets!,Millions,"birds, reptiles",Skull shaped mark on its carapace,True Death’s Head Cockroach,3 - 4 weeks,"Woods, forests, jungles",Omnivore,,,Death’s Head Cockroach,,,,Gregarious,34 eggs,"Birds, reptiles, spiders",Insect,,,,,,,,,,,,,,,,,,
468,Deathwatch Beetle,,Larvae,Solitary,The adult deathwatch beetle taps on the wood to find a mate.,Unknown,None,The mottled brown shell,Woodworm,A month,Anywhere with wood,Herbivore,,,Deathwatch Beetle,1,Europe and North America,,,40-80 eggs,"Mammals, birds, spiders, and other insects",Insect,,,,,,,,,,,,,Wood,,,,,
469,Deer,,,,,,,,,,Dense forest and planted areas,Herbivore,1,Herd,,,,There are around 40 different species!,,,,Mammal,Long ears and some male species have antlers,,,,,,,"Acorns, Fruit, Grass",,,,,Acorns,,,,,
470,Deer Head Chihuahua,,,,The Chihuahua is the smallest dog breed in the world.,,,,,,,Omnivore,,,,,,,,,,,,"Charming, intelligent, and friendly",,,,,,,,,,,,,,,,
471,Deer Tick,Blood,Larvae,Solitary,Commonly found on white-tailed deer,,Ingestion by mites or nematodes,Black legs,"Deer tick, black-legged tick",1-30 days,,Omnivore,,,Deer tick,1,North America,,Ticks,"300-3,000 eggs",,Insect,,,,,,,,,,,,,,,,,,
472,Desert Kingsnake,,,,The desert kingsnake rolls over and plays dead when it feels threatened.,,,,,,,Carnivore,,,Desert Kingsnake,,,,,,,,,,,,,,,,,,,,,,,,,
473,Desert Locust,,Nymphs and hoppers,Swarm,Solitary locusts are grey while gregarious locusts are yellow with stripes.,,Pesticides,Spotted wings,"Acridid, grasshopper",2 weeks,"Desert, dry grassland",Herbivore,,,,,,,,100 eggs,"Wasps, flies, birds, reptiles",Insect,,,,,,,,,,,,,Plants and crops,,,,,
474,Desert Rain Frog,,,,The desert rain frog doesn't hop,unknown,Humans,"Large body, small limbs","Boulenger's short-headed, frogweb-footed rain frog",,Sand dunes,Omnivore,,,,,,,,12–40,"Birds, Larger Mammals",Amphibian,,,,,,,,,,,,,"Insects, larve",,,,,
475,Desert Tortoise,,,,,,,,,,Sandy desert plains and rocky hills,Herbivore,,Solitary,,,,Lives in burrows underground!,,,"Coyote, Birds, Gila Monster",Reptile,Small size and patterned shell,,,,,,7,"Grasses, Herbs, Flowers",,,,,Grasses,,,,,
476,Deutsche Bracke,,,,,,,,,,,Omnivore,,,Deutsche Bracke,,,Has long drop ears and a long narrow tail!,Hound,,,,,,,,,,,,,,,,,,,,,
477,Devils Coach Horse Beetle,"Insects, worms, snails, and slugs",Larvae,Solitary,The Devil’s coach horse beetle can emit a noxious substance to deter predators,,None,The long curling tail,"Devil’s footman, devil’s coachman, devil’s steed, and cock-tail beetle",30 days,"Grasslands, farmlands, woodlands, heathlands, and gardens",Carnivore,,,Devil’s Coach Horse Beetle,1,"Europe and North Africa, transplanted elsewhere",,,A single egg at a time,Other insects,Insect,,,,,,,,,,,,,,,,,,
478,Devon Rex,,,,,,,,Pixie cat,,,Omnivore,,,Devon Rex,,,,,,,,,,,,,,,,,,,,,,,,,
479,Dhole,,,,,,,,,,Dry forest and thick jungle,Carnivore,8,Pack,,,,"Only 2,000 left in the wild!",,,"Tigers, Leopards, Humans",Mammal,Bushy tail and distinctive calls,,,,,,,"Deer, Rodents, Birds",,,,,Deer,,,,,
480,Dik-Dik,,Calf,Pair,A dik-dik is named after a sound it makes when it is frightened,Unknown,"Some hunting, some habitat loss",Small pointed snout,"Madoqua, small antelope",5-6 months,"Savannahs, shrublands, bushes",Herbivore,,,Dik-dik,4,Eastern and southern parts of Africa,,,1,"Hyenas, big cats, eagles, monitor lizards, humans",Mammal,,,,,,,,,,,,,"Vegetation, roots, berries",,,,,
481,Dingo,,,,,,,,,,"Desert, wet and dry forests",Carnivore,6,Pack,,,,Natively found on the Australian continent!,,,"Human, Large reptiles",Mammal,Pricked ears and a long bushy tail,,,,,,,"Rabbit, Lizards, Rodents",,,,,Rabbit,,,,,
482,Dire Wolf,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Discus,Small invertebrates and plant matter,Fry,School,The discus can change its colors slightly based on personal and environmental factors,Unknown,Habitat change,Bright colors,Pompadour fish,3 to 4 days,"Deep, slow-moving waters",Omnivore,,Diurnal,Discus,3,"Brazil, Columbia and Peru",One of the only schooling Cichlids!,Fish,,"Turtles, birds, and other fish",Ray-finned fish,,,,,10 days,,,,2 - 3 weeks,150,,,,,6 - 7,,,
484,Doberman Pinscher,,,,,,,,,,,Omnivore,,,Doberman Pinscher,,,"A gentle, loyal and loving breed!",Mastiff,,,,,,,,,,,,,,,,,,,,,
485,Dodo,,,,The dodo was a completely flightless bird.,,,,,,Tropical forest,Omnivore,1,Flock,Dodo,,,Native to the island of Mauritius!,,,"Humans, Cats, Dogs",Bird,Hooked beak and unable to fly,,,About 20 inches,Unknown,,1,Tambalacoque Fruit,,,Ground,Probably a few weeks or months,Tambalacoque Fruit,,,,,
486,Dog Tick,Blood,Larvae,Solitary,Dog ticks feed on dogs and other mammals,,Ingestion by mites or nematodes,Ability to expand greatly in size,"American dog tick, brown dog tick",1-30 days,,Omnivore,,,Dog tick,2,Everywhere humans live,,,"2,000-7,000 eggs",,Arachnid,,,,,,,,,,,,,,,,,,
487,Dogo Argentino,,,,,,,,,,,Omnivore,,,Dogo Argentino,,,Loyal and affectionate to their family!,Mastiff,,,,,,,,,,,,,,,,,,,,,
488,Dogue De Bordeaux,,,,,,,,,,,Omnivore,,,Dogue De Bordeaux,,,Extremely loyal and devoted to it's master!,Mastiff,,,,,,,,,,,,,,,,,,,,,
489,Dolphin,,,Pod,"Dolphins can travel in superpods of more than 1,000 individuals!",,,,,,"All of the world's oceans, rivers in Asia and South America",Carnivore,1,Pod,,,,Can reach speeds of up to 25 mph!,,,"Sharks, orcas",Mammal,"A beaklike snout and rounded ""melon"" or forehead",,,,,,,"Fish, Squid, Crustaceans",,,,,Squid,,,,,
490,Donkey,,,,,,,,,,Arid forests and deserts,Herbivore,1,Herd,,,,"First domesticated 5,000 years ago!",,,"Fox, Wolf, Lion",Mammal,Stocky body and hee-haw sounds,,,,,,,"Grass, Weeds, Vegetables",,,,,Grass,,,,,
491,Dorgi,,puppy,,The Dorgi is one of the more popular mixed breed dogs.,,,long body and short legs,,,,Omnivore,,,Dorgi,,,,,2-5 puppies,,mammal,,"Intelligent, friendly, and bold",,,,,,,,,,,,Germany and Wales,,,,
492,Dorkie,,,,Dorkies are so laid-back they sometimes need extra incentive to exercise each day.,,,,,,,Omnivore,,,,,,,,,,,,Laid-back and even-tempered,,,,,,,,,,,,,,,,
493,Dormouse,,,,,,,,,,Dense woodlands and shrub land,Omnivore,4,Solitary,,,,"Found in Europe, Africa and Asia!",,,"Owls, Snakes, Weasels",Mammal,"Long tail and thin, black whiskers",,,,,,,"Fruits, Nuts, Insects",,,,,Fruits,,,,,
494,Double Doodle,,,,Exact origin unknown.,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Douc,,Infant,Gregarious,"When these monkeys want to mate, they wiggle their eyebrows.","About 26,000 or less. The conservation status of all species of douc is critically endangered.",Humans,"Its colors, especially the colors of the red-shanked douc","Costumed apes, five color douc (for the red-shanked douc), Queen of Primates, douc langur",165 to 205 days,Tropical rainforests and monsoon forests,Herbivore,,,Douc,3,Indochina,,"Cartload, troop","One, rarely two","Humans, possibly large birds of prey or big cats",Primate,,,,,,,,,,,,,,,,,,
496,Doxiepoo,,,,Doxiepoos are an unpredictable breed that can come in a variety of appearances and sizes.,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Doxle,rabbits,puppies,PackSocial,Doxles have long floppy ears,unknown,,long ears,"Doxies, Beaschunds",2 months,Domesticated,Carnivore,4-6 puppies,PackSocial,Doxie,1,North America,,,4-6 puppies,,mammal,deep howl,"Sweet, Loyal, Affectionate",easy to train,,,,,rabbits,3 months,,,,meat,North America,,,,
498,Draco Volans Lizard,"Insects, especially ants and termites",Hatchling,Solitary,Beneath the lizard’s “wings” are a pair of enlarged ribs for support.,Unknown but conservation status is Least Concern.,"Predators such as birds of prey, larger reptiles, pet trade","Its “wings,” a patagium spread supported by ribs","Flying lizard, gliding lizard",Eggs hatch in 32 days,Second growth forest,Carnivore,,,Common flying dragon,,"Southeast Asia, south India, Philippines",,,Five,"Birds of prey, larger lizards, tree snakes",Reptile,,,,,,,,,,,,,,,,,,
499,Dragonfish,"Eggs, insects, insect larvae, planktons, small invertebrates",,,Dragonfish can emit red light from their eyes,unknown,Red founder fish,Protruding fangs,"Sea moths, black dragonfish","Not known, though some reports suggest up to four weeks",Deep waters in Indo-Pacific oceans,Carnivore,,,Sea moth or black dragonfish,,,,,,Red founder fish,Fish,,,,,,,,,,,,,,,,,,
500,Dragonfly,,,,It's larvae are carnivorous!,,,,,,Wetlands and close to water,Carnivore,60,,Dragonfly,5000,Worldwide,It's larvae are carnivorous!,,,"Birds, Fish, Lizards",,,,,,,,,"Mosquitoes, Fly, Bee",,,,,Mosquitoes,,,,,
501,Drever,,,,Drevers got their name from a naming contest in 1947.,,,,,,,Omnivore,,,Drever,,,Uncommon outside of Europe!,Hound,,,,,,,,,,,,,,,,,,,,,
502,Drum Fish,"Mollusks, insects, and fish",,Solitary,The drum fish makes a croaking sound with its swimming bladder!,Unknown,Habitat changes,The croaking noise,Drum or croaker,A few days,,Carnivore,,,Drum fish,275,,,,,"Birds, fish, and humans",Fish,,,,,,,,,,,,,,,,,,
503,Dubia Cockroach,"Fruit, vegetables, and grains",Nymph,Colony,The most popular species of feeder roach,,Extermination by humans,Light brown bodies with dark brown spots,"Orange-spotted roach, Guyana spotted roach, Argentinian wood roach, tropical spotted roach",50-60 days,,Omnivore,,,Dubia roach,1,Central and South America,,Cockroach,20-35 nymphs,,Insect,,,,,,,,,,,,,,,,,,
504,Duck,,,,Rows of tiny plates line their teeth!,,,,,,"Rivers, lakes and woodland wetlands",Omnivore,,Pack,,,,Rows of tiny plates line their teeth!,,,,Bird,"Long, broad beak and webbed feet",,,60cm - 80cm (24in - 31in),,,5,"Insects, Frogs, Plants, Shellfish",,,,,Insects,,,,,
505,Dugong,,,,,,,,,,Warmer tropical waters and sea grass forests,Herbivore,1,Solitary,,,,Closely related to the Manatee!,,,"Human, Sharks, Crocodile",Mammal,Large body size and forked tail,,,,,,,"Sea Grass. Algae, Flowers",,,,,Sea Grass,,,,,
506,Dumeril’s Boa,"small mammals, birds, eggs, lizards",neonates,Solitary except during mating season,Some tribes believe that the snake's skin holds the souls of their ancestors.,,People who kill them out of fear.,,"do, Dumeril's ground boa,",,,,,Nocturnal,,,Madagascar,,,5-15,,,,,,,,,,rats and juvenile lemurs,,,,,juvenile lemurs,,,,,
507,Dung Beetle,Dung or insects,Larvae,Solitary,The dung beetle can push objects many times its own weight,Varies,Predation,Some males have horns on their head,Scarab,A few days,"Forests, grasslands, deserts, prairies, and farmlands",Carnivore,,,Dung Beetle,,Worldwide,,,3 to 20 eggs,"Mammals, bird, reptiles, amphibians, and insects",Insect,,,,,,,,,,,,,,,,,,
508,Dunker,,,,,,,,,,,Omnivore,,,Dunker,,,A friendly and relaxed dog!,Hound,,,,,,,,,,,,,,,,,,,,,
509,Dunnock,"Insects, spiders, worms, and seeds",,,Both male and female dunnocks can have multiple mates every breeding season,25-44 million mature individuals,Habitat loss,The dark streaks on the back,"Hedge accentor, hedge sparrow, or hedge warbler",,"Shrubs, woodlands, hedgerows, and gardens",Omnivore,,,Dunnock,1,Europe and Western Asia,,,,Cats and sparrowhawks,Bird,,,,19-21cm (7.5-8.2in),12-13 days,,,,,,Shrubs or trees,11-12 days,,,,1,,
510,Dusky Dolphin,"Anchovies, Sardines, Squid",Calf,Pod,"Communicates using whistles, squeaks and clicks!",Not Known,Hunting and commercial fishing,"Rounded black beak and tall, curved dorsal fin",,11 months,Cooler waters near continental shelves,Carnivore,1,Diurnal/Nocturnal,Dusky Dolphin,3,Across the southern hemisphere,"Communicates using whistles, squeaks and clicks!",Mammal,,"Killer Whales, Sharks, Humans",,,,,,,,,,,,,,,,,,,
511,Dwarf Boa,"small mammals, birds, lizards",,Solitary except during mating season,"Some species can change color from dark to light, and back again.",,"In the wild, it's habitat destruction",,"boa, dwarf boa, thunder snake",,,,,Nocturnal/Crepuscular,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Dwarf Crocodile,"Fish, Crustaceans, Frogs",Hatchling,Solitary,Digs burrows in river banks to rest!,"25,000 - 100,000",Habitat loss and hunting,Short and broad snout,"African Dwarf Crocodile, Black Crocodile, Bony Crocodile, Broad-Snouted Crocodile, Rough-Backed Crocodile",,Rainforest rivers and swamps,Carnivore,,Nocturnal,Dwarf Crocodile,2,West Africa,Digs burrows in river banks to rest!,Reptile,,"Crocodiles, Large Birds and Mammals",,,,,,3 months,,10,,Up to a few weeks,,,,,,,,,
513,Dwarf Hamster,,pups,Solitary,dwarf hamsters love to explore at night.,57 million,"Global warming, pollution, industrial development.", Pouch-like cheeks,,20-22 days,"Deserts, desert edges, steppe, mountains, forests, scrublands.",Omnivore,,,dwarf hamster,,"Greece, Romania, Belgium, northern China",,solitary,six,"Foxes, owls, eagles, kestrels, falcons.",mammal,,,,,,,,,,,,,,,,,,
514,Eagle,,,,Has exceptional eyesight!,,,,,,"Open waters like rivers, lakes and coastal regions",Carnivore,,Solitary,,,,Has exceptional eyesight!,,,"Human, Hawk, Raccoon",Bird,"Long curved beak and strong, sharp claws",,,70cm - 250cm (27.5in - 98in),,,2,"Fish, Mammals, Reptiles",,,In trees or on cliffs,,Fish,,,,,
515,Earthworm,"Bacteria, nematodes, protozoans",Hatchling,Solitary,"They are hermaphrodites, which means they have male and female organs",very abundant,"Climate change, habitat destruction",Their segmented bodies,"Night crawler, dew worm, angleworm, rainworm, lobworm",Three weeks,"Moist, humus filled soil",Omnivore,,,earathworm,6000,Cosmopolitan,,Solitary,Two to 20,"Humans, birds, reptiles, amphibians, snails, beetles, small mammals",invertebrate,,,,,,,,,,,,,,,,,,
516,Earwig,,,,"There are nearly 2,000 different species!",,,,,,Grass and woodlands,Omnivore,50,,Earwig,1800,Worldwide,"There are nearly 2,000 different species!",,,"Toads, Birds, Beetles",,Sharp pincers and delicate wings,,,,,,,"Plants, Flowers, Insects",,,,,Plants,,,,,
517,Eastern Barred Bandicoot,"Roots, berries, beetles, worms, grasshoppers",Joey,Solitary,Digs funnel-shaped holes in search of insects,"10,000-100,000",Habitat loss,Bars of black fur on its hindquarters,Pig rat,12 days,"Forest, grassland, desert",Omnivore,,,Bandicoot,19,Australia,,solitary,1-4 joeys,"Red fox, dingo",Mammal,,,,,,,,,,,,,,,,,,
518,Eastern Bluebird,"Insects, snails, spiders, beetles, earthworms, grasshoppers, katydids, crickets and other small invertebrates.",,,"Bluebirds drop straight down on their prey from their perch, much like leopards.",20 million,"Habitat destruction, invasive species, pet cats",The bright blue color of the male’s feathers,Blue robin,,"Habitat includes farmland, open country, parks, orchards, backyards, hedgerows",Omnivore,,,Bluebird,8,North and Central America east of the Rocky Mountains,,,Three to seven,"Rodents, black bears, raccoons, snakes, cats, birds of prey and fire ants.",Bird,,,,9.8 to 12.6 inches across,About two weeks.,,7,,,,Abandoned woodpecker hole or other tree cavities a few feet from the ground.,15 days,,,,1,,
519,Eastern Brown Snake,Rodents,,,,,,,,,,Carnivore,10 to 35,,Common brown snake,,,,,,,,,,,,,,,,,,,,,,,,,
520,Eastern Chipmunk,Insects and worms,pup,Solitary,The name chipmunk is derived from an Ojibwe word that means “one who descends the trees headfirst.”,,Predators,The dark brown and white stripes down the back,,35 days,"Urban and suburban parks, backyards, human habitations, deciduous woods",Herbivore,,,Eastern Chipmunk,1,United States east of the Mississippi River and southern Canada,,solitary,two to five,"Foxes, bobcats, birds of prey, coyotes, dogs and cats, raccoons, red squirrels, mustelids",mammal,,,,,,,,,,,,,,,,,,
521,Eastern Coral Snake,,,,One of the most dangerous snakes in the USA.,,,,,,,Carnivore,,,Coral Snake,,,,,Five to 12,,,,,,,,,,,,,,,,,,,,
522,Eastern Diamondback Rattlesnake,"rats, mice, rabbits, squirrels, and sometimes birds.",Neonate,Solitary,"This is the biggest venomous snake in North America, with a few that reach 8 feet long.",,,Their rattle.,"Diamond-backed rattlesnake, eastern diamondback, diamond rattlesnake, diamond-back rattlesnake, common rattlesnake, diamond-back, diamond-patch rattler, eastern diamond-back, eastern diamond rattlesnake, Florida diamond-back (rattlesnake), Florida rattlesnake, lozenge-spotted rattlesnake, rattler, rattlesnake, southeastern diamond-backed rattlesnake, southeastern diamond-backed rattler, southern woodland rattler, water rattle, water rattlesnake, and diamondback rattlesnake.",6-7 months,,Carnivore,,CrepuscularDiurnal/NocturnalNocturnal/Crepuscularor Nocturnal Depending on Region and Season,Eastern diamondback,,,,,7-21,"Indigo snakes, king snakes, hawks, coyotes, weasels.",,,"A little prickly, but reclusive.",,,,,,Small mammals,A few hours,,,,Rabbits,,,,,
523,Eastern Fence Lizard,"insects, arachnids, and arthropods",hatchling,Solitary,Females are usually larger than males.,"over 1,000,000",habitat loss,"spiny scales, wavelike markings","fence lizard, plateau lizard, prairie lizard",8-10 weeks,"forest, grassland, and shrublands",Carnivore,,Diurnal,Eastern fence lizard,7,"parts of the United States, Mexico",,lounge,3-16,"snakes, birds, larger lizards, cats",reptile,,,,,,,,,,,,,,,,,,
524,Eastern Glass Lizard,"Lizards, snakes, mice, invertebrates such as insects, spiders, earthworms and snails as well as each other.",Hatchling,Solitary,When the glass lizard loses its tail it can grow another one. But the new tail lacks the markings of the old one and is usually shorter.,,"Habitat destruction, vehicular accidents",Lack of legs even though it’s a lizard and not a snake," Joint snake, stinging snake, horn snake",50 to 60 days,"Wet areas, including places near marshes, forests near the ocean, wet meadows, mesic semi-tropical or tropical hammocks, coastal dunes",Carnivore,,,Eastern glass lizard,1,Southeastern United States,,solitary,Five to 15 eggs,"Foxes, skunks, birds of prey, snakes and raccoons",reptile,,,,,,,,,,,,,,,,,,
525,Eastern Gorilla,,,,,,,,,,Tropical forest and jungles in mountainous regions,Omnivore,1,Social,,,,The largest primate in the world!,,,"Human, Leopard",Mammal,,,,,,,,"Leaves, Seeds, Herbs",,,,,Leaves,,,,,
526,Eastern Gray Squirrel,Bird eggs and baby birds (nest raiders),Kits,Solitary,Eastern gray squirrels use both memory and scent to find their buried caches of food during the winter.,2 million +,Human and habitat changes,Bushy tail,Gray squirrel,44 days,Mature woodlands,Omnivore,,,Gray squirrel,,Eastern United States and Canada,,Solitary,2 to 4 kits,,,,,,,,,,,,,,,,,,,,
527,Eastern Green Mamba,,,,"It is completely arboreal, and its green color is one of the adaptations that make life in the trees possible.",,,,"Common green mamba, the white-mouthed mamba, the East African green mamba, or the green mamba",,,Carnivore,,Diurnal,Eastern green mamba,1,,,,,,,,,,,,,,,,,In leaf litter in a tree cavity,,"Bats, small mammals and birds, bird eggs and nestlings",,,,,
528,Eastern Indigo Snake,"Arthropods, snakes, birds, lizards, rodents",Hatchlings,,Eastern Indigo snakes regularly chase down and eat rattlesnakes and may be immune to their venom.,,Habitat loss,Blue-black scales that are Iridescent purple in the light,"Gulf Coast Indigo Snake, Indigo Snake, Racer",,,Carnivore,,Diurnal,,,Southeastern United States,,,4-12,,Reptile,,,,,,,,,,,,,"Venomous snakes, lizards, turtles, small mammals.",,,,,
529,Eastern Lowland Gorilla,,,,,,,,,,Tropical forest and jungles in mountainous regions,Omnivore,1,Social,,,,"Less than 5,000 in the wild!",,,"Human, Leopard",Mammal,,,,,,,,"Leaves, Seeds, Herbs",,,,,Leaves,,,,,
530,Eastern Phoebe,"Wasps, bees, flies, grasshoppers, bees, spiders, millipedes, ticks, and other insects.",,,This passerine bird can sing its song without ever hearing another bird vocalize first.,"Approximately 32 million, as of 2015.","Brown-headed cowbird, which replaces the egg’s in the Eastern phoebe’s nest with their own.",Wags its tail as it sits.,,,"Forests, swamps, marshes, gardens, streams, and other agricultural areas",Omnivore,,,Eastern phoebe,1,Southeastern United States and northern Mexico,,,2-6,"Snakes, chipmunks, mice, house wrens, crows, and jays, which predominantly go after the eggs.",Bird,,,,10.2 to 11 inches,16 days,,,,,,"Under bridges, in barns, and other areas with shelter above and support below.",Only during the first breeding,,,,1,,
531,Eastern Racer,,,,Fast and Furious!,,,,,,,Carnivore,,,Eastern racer,,,,,Three to 32,,,,,,,,,,,,,,,,,,,,
532,Eastern Rat snake,"Rodents, eggs, birds",,,"Rat snakes are medium-to-large, nonvenomous snakes that kill by constriction.",,,,,,,Carnivore,,,"Eastern rat snake, black rat snake, chicken snake",,,,,12-20,,,,,,,,,,,,,,,,,,,,
533,Eastern Woodrat,,kittens or pups,Solitary, The eastern woodrat mating ritual involves a potentially deadly fight between the male and female before reproduction begins!,"over 10,000 individuals",habitat loss,Exceptionally long tail of 15-20cm,bush rat,30-37 days,"Forest, caves, shrublands, grasslands, wetlands, and rocky outcrops",Herbivore,,,Eastern woodrat,8," Southeastern and Midwestern United States, from southern Illinois and New York state to as far south as central Florida",,Solitary,1-3,"Owls, raccoons, weasels, foxes, and snakes",Rodent,,,,,,,,,,,,,,,,,,
534,Echidna,,,,,,,,,,Cool and dry forests,Carnivore,1,Solitary,,,,Also known as the Spiny Anteater!,,,"Human, Eagle, Dingos",Mammal,Long snout and spikes and curved claws,,,,,,,"Ants, Termites, Insects",,,,,Ants,,,,,
535,Eclectus Parrot,,,,Does not squawk like other parrot species.,"7,300 – 51,000 mature adults",Pet trade,Bright colors (typically green and red),,,Rainforests,Herbivore,,,Eclectus parrot,1,"The Solomon Islands, Indonesia, New Guinea, Australia, the Moluccas",,,2 eggs,"Possums, birds of prey, wild dogs",Bird,,,,8-10 inches,28-30 days,,2,,,,Holes in high trees,Around 7 months,,,,,,
536,Edible Frog,"Insects, Moths, Spiders",Tadpole,Solitary,Known to guard the muddy banks!,Sustainable,Habitat loss,,"Common Water Frog, Green Frog",,Woodland swamps and ponds,Omnivore,,Diurnal,Edible Frog,1,Across central Europe,Are known to guard the muddy banks!,Amphibian,,"Foxes, Cats, Birds",,Long legs and streamlined body,,,,2 - 3 weeks,,,,Immediately,"6,000",,,,,,,,
537,Eel,"Smaller fish, invertebrates, crustaceans, shrimp, crabs, sea urchins",,Solitary/Group,Eels can be a mere few inches long to 13 feet!,Unknown,Human consumption of freshwater eels,Snakelike appearance,,Unknown,"Ocean, river, freshwater",Carnivore,,,Eel,800,,,,,"Larger eels, larger fish, fish-eating birds, and (for freshwater eels) humans","Anguilliform, Actinopterygii, Teleost",,,,,,,,,,,,,,,,,,
538,Egyptian Cobra,"Toads, small mammals, birds, eggs, lizards, other snakes",,, The Egyptian cobra is one of the largest cobras in Africa.,,,,,,,Carnivore,,,,,,,,,,Reptile,,,,,,,,,,,,,"Toads, small mammals, birds, eggs, lizards, other snakes",,,,,
539,Egyptian Goose,"Insects, frogs, terrestrial worms",,,A duck species that resembles a goose when flying,"200,000 - 500,000",Hunting due to perception as an invasive species,"A ""mask"" around the eye area","Nile Goose, Bata",,"Open wetland areas such as rivers, estuaries, marshes, lakes",Omnivore,,,Egyptian Goose,10,"Africa, Asia, Europe, North America",,,5-12,"Baboons, eagles, hawks",Bird,,,,15 in.,4 weeks,,,,,,On the ground near trees or in dense vegetation,10-12 weeks,,,,,,
540,Egyptian Mau,,,,An ancient breed of domestic cat!,,,,,,,Omnivore,6,,Egyptian Mau,,,An ancient breed of domestic cat!,Shorthair,,,,,"Loving, playful and clever",,,,,,,,,,,,,,,,
